log2_N,N,Init_T,FFT_T,RMS_T,Total_T
8,256,307,42,1,350
8,256,152,28,1,181
8,256,139,26,1,166
8,256,136,26,1,163
8,256,138,26,1,165
8,256,135,26,1,162
8,256,137,26,1,164
8,256,133,25,1,159
8,256,135,26,2,163
8,256,136,26,1,163
9,512,221,57,1,279
9,512,180,39,1,220
9,512,177,38,1,216
9,512,173,39,1,213
9,512,173,39,1,213
9,512,173,39,1,213
9,512,176,38,1,215
9,512,176,39,1,216
9,512,174,40,1,215
9,512,176,38,1,215
10,1024,321,85,2,408
10,1024,290,58,1,349
10,1024,248,56,2,306
10,1024,245,56,2,303
10,1024,245,57,1,303
10,1024,244,57,1,302
10,1024,244,56,2,302
10,1024,244,57,1,302
10,1024,242,57,2,301
10,1024,245,56,1,302
11,2048,509,119,2,630
11,2048,425,105,1,531
11,2048,411,130,3,544
11,2048,458,103,2,563
11,2048,414,101,1,516
11,2048,437,101,1,539
11,2048,486,103,1,590
11,2048,411,101,1,513
11,2048,411,101,1,513
11,2048,410,100,1,511
12,4096,895,250,2,1147
12,4096,748,238,3,989
12,4096,770,241,2,1013
12,4096,802,237,2,1041
12,4096,738,239,2,979
12,4096,747,235,2,984
12,4096,1108,252,1,1361
12,4096,746,291,3,1040
12,4096,751,229,2,982
12,4096,744,231,2,977
13,8192,1739,614,2,2355
13,8192,1436,593,2,2031
13,8192,1417,593,1,2011
13,8192,1414,591,1,2006
13,8192,1693,607,3,2303
13,8192,1431,591,2,2024
13,8192,1414,593,2,2009
13,8192,1553,602,2,2157
13,8192,1489,671,2,2162
13,8192,1427,591,2,2020
14,16384,3388,1242,2,4632
14,16384,2955,1321,5,4281
14,16384,3128,1225,1,4354
14,16384,2914,1346,4,4264
14,16384,3154,1220,1,4375
14,16384,2886,1234,2,4122
14,16384,3445,1216,1,4662
14,16384,3071,1334,3,4408
14,16384,3017,1222,2,4241
14,16384,2961,1241,4,4206
15,32768,6595,3460,3,10058
15,32768,6304,3554,3,9861
15,32768,6418,3454,3,9875
15,32768,7313,3403,6,10722
15,32768,6393,3606,4,10003
15,32768,6432,3447,4,9883
15,32768,6226,3435,4,9665
15,32768,6455,3424,3,9882
15,32768,6612,3442,3,10057
15,32768,6314,3506,4,9824
16,65536,13106,6673,3,19782
16,65536,12967,6764,4,19735
16,65536,12534,6728,8,19270
16,65536,12649,6694,4,19347
16,65536,12555,6817,3,19375
16,65536,12632,6643,4,19279
16,65536,12615,6686,4,19305
16,65536,13077,6667,3,19747
16,65536,12550,6725,3,19278
16,65536,14433,6788,4,21225
17,131072,25805,16787,4,42596
17,131072,26212,16764,4,42980
17,131072,25319,16710,3,42032
17,131072,43675,16714,3,60392
17,131072,25018,16751,4,41773
17,131072,25334,16668,8,42010
17,131072,25157,16837,3,41997
17,131072,25008,16985,3,41996
17,131072,25125,17106,4,42235
17,131072,54709,16712,4,71425
18,262144,51620,43076,4,94700
18,262144,51478,43076,3,94557
18,262144,103894,43055,3,146952
18,262144,50660,43105,4,93769
18,262144,50319,43701,8,94028
18,262144,53068,43228,4,96300
18,262144,52012,43066,3,95081
18,262144,69775,43034,4,112813
18,262144,90313,46432,3,136748
18,262144,103337,46306,4,149647
19,524288,152819,95125,4,247948
19,524288,101934,95402,4,197340
19,524288,241855,97602,4,339461
19,524288,155372,94800,4,250176
19,524288,121540,95323,4,216867
19,524288,100484,95748,4,196236
19,524288,168944,94979,4,263927
19,524288,100617,95099,4,195720
19,524288,102153,94810,5,196968
19,524288,101415,94896,4,196315
20,1048576,210851,191427,4,402282
20,1048576,203093,199774,4,402871
20,1048576,203541,192386,4,395931
20,1048576,204712,191754,4,396470
20,1048576,205197,191451,4,396652
20,1048576,202710,191570,4,394284
20,1048576,203666,191408,4,395078
20,1048576,203638,192433,4,396075
20,1048576,309760,191900,4,501664
20,1048576,216600,192850,4,409454
21,2097152,642493,393934,4,1036431
21,2097152,610251,384555,4,994810
21,2097152,416427,384298,4,800729
21,2097152,421531,385047,4,806582
21,2097152,874852,384757,4,1259613
21,2097152,647167,385627,4,1032798
21,2097152,409453,384605,4,794062
21,2097152,574172,385164,4,959340
21,2097152,508601,384577,4,893182
21,2097152,423534,384295,3,807832
22,4194304,1092085,779535,4,1871624
22,4194304,817728,794764,4,1612496
22,4194304,1833861,788871,3,2622735
22,4194304,891953,786915,4,1678872
22,4194304,905547,786371,4,1691922
22,4194304,1074039,784922,4,1858965
22,4194304,1000500,786301,4,1786805
22,4194304,1104225,780180,4,1884409
22,4194304,1361440,784643,4,2146087
22,4194304,1114210,782011,4,1896225
