log2_N,N,Init_T,FFT_T,RMS_T,Total_T
8,256,330,46,563,939
8,256,162,28,539,729
8,256,150,28,535,713
8,256,150,27,525,702
8,256,148,27,531,706
8,256,151,28,530,709
8,256,152,30,530,712
8,256,148,28,524,700
8,256,152,31,494,677
8,256,147,28,627,802
9,512,243,65,1122,1430
9,512,200,46,1028,1274
9,512,197,42,1027,1266
9,512,195,42,1020,1257
9,512,185,41,1127,1353
9,512,203,44,1026,1273
9,512,203,45,1028,1276
9,512,186,41,1029,1256
9,512,181,43,1290,1514
9,512,207,45,1030,1282
10,1024,356,81,2033,2470
10,1024,287,64,2139,2490
10,1024,296,63,2109,2468
10,1024,359,63,2024,2446
10,1024,292,63,2024,2379
10,1024,274,61,2120,2455
10,1024,282,92,2023,2397
10,1024,284,135,2017,2436
10,1024,276,61,2142,2479
10,1024,311,63,2023,2397
11,2048,559,128,4468,5155
11,2048,484,113,4007,4604
11,2048,465,108,4217,4790
11,2048,473,110,4138,4721
11,2048,523,110,4221,4854
11,2048,487,113,4200,4800
11,2048,474,113,4137,4724
11,2048,477,113,4098,4688
11,2048,471,111,4093,4675
11,2048,541,112,4064,4717
12,4096,987,288,8310,9585
12,4096,886,263,8315,9464
12,4096,901,259,8242,9402
12,4096,888,258,8241,9387
12,4096,870,241,8183,9294
12,4096,915,256,8338,9509
12,4096,927,254,8266,9447
12,4096,876,258,8198,9332
12,4096,872,258,8246,9376
12,4096,867,253,8193,9313
13,8192,1846,663,16428,18937
13,8192,1842,643,17081,19566
13,8192,1958,653,16443,19054
13,8192,1753,655,17137,19545
13,8192,1850,651,16941,19442
13,8192,1786,644,16594,19024
13,8192,1752,607,16447,18806
13,8192,1812,648,16519,18979
13,8192,1741,641,16450,18832
13,8192,1802,658,16425,18885
14,16384,3545,1406,32896,37847
14,16384,3555,1333,33120,38008
14,16384,3757,1406,33056,38219
14,16384,17304,1326,64062,82692
14,16384,13666,1317,63284,78267
14,16384,13668,1292,63615,78575
14,16384,4063,1765,33080,38908
14,16384,3437,1329,33657,38423
14,16384,3407,1357,33000,37764
14,16384,3488,1329,33257,38074
15,32768,7086,3788,100140,111014
15,32768,18871,3706,72606,95183
15,32768,7009,3701,71934,82644
15,32768,20992,3819,124217,149028
15,32768,21933,3792,99919,125644
15,32768,6987,3801,66475,77263
15,32768,6762,3814,65441,76017
15,32768,7135,3839,66832,77806
15,32768,6990,3717,65866,76573
15,32768,6985,3895,66215,77095
16,65536,14271,7211,132739,154221
16,65536,13874,7274,174478,195626
16,65536,13811,7301,143790,164902
16,65536,34178,7193,244917,286288
16,65536,27874,6692,182839,217405
16,65536,12550,6732,123025,142307
16,65536,12493,6707,122600,141800
16,65536,12698,6716,122757,142171
16,65536,12631,6657,123588,142876
16,65536,12687,6647,122924,142258
17,131072,25766,16565,247175,289506
17,131072,24987,16603,245461,287051
17,131072,25084,16582,248090,289756
17,131072,25136,16586,247153,288875
17,131072,25128,16545,265703,307376
17,131072,25165,16568,465758,507491
17,131072,37123,16653,247406,301182
17,131072,25043,16589,394107,435739
17,131072,62785,17959,271093,351837
17,131072,25042,16577,245096,286715
18,262144,52062,43016,491807,586885
18,262144,50134,43069,514054,607257
18,262144,50652,43026,723494,817172
18,262144,50210,43060,492047,585317
18,262144,50063,43058,491896,585017
18,262144,50111,43059,510129,603299
18,262144,50306,43031,522751,616088
18,262144,50243,43061,491452,584756
18,262144,50439,43065,492382,585886
18,262144,50212,43057,492015,585284
19,524288,103533,94862,985313,1183708
19,524288,100466,94878,983924,1179268
19,524288,100472,94942,1206931,1402345
19,524288,100190,94789,984361,1179340
19,524288,100304,94779,983137,1178220
19,524288,100910,95307,982415,1178632
19,524288,101984,94793,983836,1180613
19,524288,100289,94790,984984,1180063
19,524288,100950,95082,985319,1181351
19,524288,100468,94788,982774,1178030
20,1048576,206999,191452,2190303,2588754
20,1048576,200965,191269,1976820,2369054
20,1048576,200751,191241,2270333,2662325
20,1048576,240417,192586,2074986,2507989
20,1048576,394510,192850,2186306,2773666
20,1048576,201866,194008,2200134,2596008
20,1048576,201124,191228,2015470,2407822
20,1048576,200437,191540,1972527,2364504
20,1048576,201502,191251,2031036,2423789
20,1048576,356840,191359,1968739,2516938
21,2097152,413460,383982,3932264,4729706
21,2097152,405125,384409,4459948,5249482
21,2097152,401474,383886,4525324,5310684
21,2097152,422688,385999,4460911,5269598
21,2097152,401155,384195,3937394,4722744
21,2097152,402812,383919,4363281,5150012
21,2097152,461283,384023,3978739,4824045
21,2097152,403502,384047,4149670,4937219
21,2097152,531732,384994,4467752,5384478
21,2097152,403296,384052,4462229,5249577
22,4194304,830532,782145,8096858,9709535
22,4194304,804555,781906,7872056,9458517
22,4194304,1022779,781697,8965990,10770466
22,4194304,1023802,781970,7919433,9725205
22,4194304,804234,783902,8060952,9649088
22,4194304,803185,781919,9179481,10764585
22,4194304,855843,781858,8087171,9724872
22,4194304,804068,781776,8086887,9672731
22,4194304,803408,782129,8932140,10517677
22,4194304,1054765,782001,8141668,9978434
REL_RMS_ERR for log2_N:8
0.00000033,0.00000033,0.00000033,0.00000033,0.00000033,0.00000033,0.00000033,0.00000033,0.00000033,0.00000033,
REL_RMS_ERR for log2_N:9
0.00000046,0.00000046,0.00000046,0.00000046,0.00000046,0.00000046,0.00000046,0.00000046,0.00000046,0.00000046,
REL_RMS_ERR for log2_N:10
0.00000052,0.00000052,0.00000052,0.00000052,0.00000052,0.00000052,0.00000052,0.00000052,0.00000052,0.00000052,
REL_RMS_ERR for log2_N:11
0.00000059,0.00000059,0.00000059,0.00000059,0.00000059,0.00000059,0.00000059,0.00000059,0.00000059,0.00000059,
REL_RMS_ERR for log2_N:12
0.00000078,0.00000078,0.00000078,0.00000078,0.00000078,0.00000078,0.00000078,0.00000078,0.00000078,0.00000078,
REL_RMS_ERR for log2_N:13
0.00000083,0.00000083,0.00000083,0.00000083,0.00000083,0.00000083,0.00000083,0.00000083,0.00000083,0.00000083,
REL_RMS_ERR for log2_N:14
0.00000092,0.00000092,0.00000092,0.00000092,0.00000092,0.00000092,0.00000092,0.00000092,0.00000092,0.00000092,
REL_RMS_ERR for log2_N:15
0.00000098,0.00000098,0.00000098,0.00000098,0.00000098,0.00000098,0.00000098,0.00000098,0.00000098,0.00000098,
REL_RMS_ERR for log2_N:16
0.00000103,0.00000103,0.00000103,0.00000103,0.00000103,0.00000103,0.00000103,0.00000103,0.00000103,0.00000103,
REL_RMS_ERR for log2_N:17
0.00000126,0.00000126,0.00000126,0.00000126,0.00000126,0.00000126,0.00000126,0.00000126,0.00000126,0.00000126,
REL_RMS_ERR for log2_N:18
0.00000132,0.00000132,0.00000132,0.00000132,0.00000132,0.00000132,0.00000132,0.00000132,0.00000132,0.00000132,
REL_RMS_ERR for log2_N:19
0.00000142,0.00000142,0.00000142,0.00000142,0.00000142,0.00000142,0.00000142,0.00000142,0.00000142,0.00000142,
REL_RMS_ERR for log2_N:20
0.00000148,0.00000148,0.00000148,0.00000148,0.00000148,0.00000148,0.00000148,0.00000148,0.00000148,0.00000148,
REL_RMS_ERR for log2_N:21
0.00000152,0.00000152,0.00000152,0.00000152,0.00000152,0.00000152,0.00000152,0.00000152,0.00000152,0.00000152,
REL_RMS_ERR for log2_N:22
0.00000154,0.00000154,0.00000154,0.00000154,0.00000154,0.00000154,0.00000154,0.00000154,0.00000154,0.00000154,

