log2_N,N,Init_T,FFT_T,RMS_T,Total_T
8,256,306,43,616,965
8,256,161,28,497,686
8,256,144,26,655,825
8,256,148,27,492,667
8,256,142,26,486,654
8,256,202,27,537,766
8,256,145,27,490,662
8,256,144,26,487,657
8,256,143,26,488,657
8,256,141,26,483,650
9,512,228,56,1057,1341
9,512,191,41,947,1179
9,512,233,41,983,1257
9,512,186,41,1018,1245
9,512,181,40,1185,1406
9,512,200,43,953,1196
9,512,189,41,1025,1255
9,512,186,41,947,1174
9,512,179,40,1035,1254
9,512,184,41,1348,1573
10,1024,326,75,1936,2337
10,1024,307,64,1962,2333
10,1024,261,59,1858,2178
10,1024,256,60,1855,2171
10,1024,255,57,1933,2245
10,1024,260,58,2021,2339
10,1024,268,60,1857,2185
10,1024,265,58,1856,2179
10,1024,340,58,1970,2368
10,1024,272,59,1933,2264
11,2048,590,122,4177,4889
11,2048,447,107,4103,4657
11,2048,445,152,4030,4627
11,2048,440,109,3898,4447
11,2048,435,105,3960,4500
11,2048,430,107,3920,4457
11,2048,476,108,3980,4564
11,2048,433,107,4005,4545
11,2048,451,111,4984,5546
11,2048,456,111,3897,4464
12,4096,893,252,8291,9436
12,4096,902,241,7802,8945
12,4096,790,238,8007,9035
12,4096,898,241,7737,8876
12,4096,802,238,7711,8751
12,4096,801,240,7695,8736
12,4096,866,239,7660,8765
12,4096,787,238,7734,8759
12,4096,792,238,7721,8751
12,4096,795,236,8731,9762
13,8192,1766,613,16045,18424
13,8192,1606,596,15500,17702
13,8192,1579,595,15441,17615
13,8192,1716,602,15723,18041
13,8192,1665,604,16644,18913
13,8192,1597,593,16132,18322
13,8192,1699,601,15576,17876
13,8192,1631,609,15465,17705
13,8192,1598,595,15435,17628
13,8192,1569,659,15421,17649
14,16384,3366,1259,31270,35895
14,16384,3101,1217,30763,35081
14,16384,3243,1301,32755,37299
14,16384,3103,1231,31135,35469
14,16384,3291,1218,31372,35881
14,16384,3107,1273,31947,36327
14,16384,3201,1449,31047,35697
14,16384,3179,1271,30733,35183
14,16384,3179,1280,32703,37162
14,16384,3100,1222,30667,34989
15,32768,6522,1999082,121926,2127530
15,32768,17447,1990569,61816,2069832
15,32768,6288,1991854,62558,2060700
15,32768,6244,1991143,122962,2120349
15,32768,16585,1990383,62889,2069857
15,32768,6229,1990830,62931,2059990
15,32768,6297,1990697,63033,2060027
15,32768,6212,1990698,62208,2059118
15,32768,6498,1991251,118670,2116419
15,32768,16446,1994817,62586,2073849
16,65536,13477,1991878,125352,2130707
16,65536,12958,1991650,131915,2136523
16,65536,13533,1994475,135577,2143585
16,65536,12967,1991362,338818,2343147
16,65536,26680,1994437,124280,2145397
16,65536,13441,1992218,124240,2129899
16,65536,13916,1991790,124638,2130344
16,65536,12666,1992635,124267,2129568
16,65536,12548,1993129,236009,2241686
16,65536,34156,1999765,124738,2158659
17,131072,26364,1997475,478732,2502571
17,131072,31474,1999729,303935,2335138
17,131072,25019,1991003,401989,2418011
17,131072,26813,1991129,433003,2450945
17,131072,25527,1991422,612393,2629342
17,131072,43766,1993737,268157,2305660
17,131072,25778,1996070,250869,2272717
17,131072,25087,1993970,249681,2268738
17,131072,25135,1995114,562440,2582689
17,131072,25737,1991712,250511,2267960
18,262144,52660,1995300,499995,2547955
18,262144,51201,1998723,497468,2547392
18,262144,51159,1991321,590876,2633356
18,262144,150529,1998521,502125,2651175
18,262144,50074,1997744,498502,2546320
18,262144,91763,1999656,520195,2611614
18,262144,50636,1998944,535433,2585013
18,262144,124906,1999560,749392,2873858
18,262144,51598,1998945,756763,2807306
18,262144,50614,1992599,875550,2918763
19,524288,104639,1990277,1204806,3299722
19,524288,102410,1992701,1309390,3404501
19,524288,103464,1997066,994875,3095405
19,524288,101761,1993300,2514757,4609818
19,524288,199086,1996080,1017638,3212804
19,524288,101688,1990591,997760,3090039
19,524288,101982,2000183,1548476,3650641
19,524288,154062,1997366,1531893,3683321
19,524288,101976,1996086,1290492,3388554
19,524288,102008,1997400,1221995,3321403
20,1048576,209565,1991244,2155066,4355875
20,1048576,315237,1999600,2274793,4589630
20,1048576,203690,1991442,2939766,5134898
20,1048576,222914,1997206,2275889,4496009
20,1048576,397679,1996366,2802710,5196755
20,1048576,205334,1991860,2329978,4527172
20,1048576,203538,1996408,2454998,4654944
20,1048576,203231,1991665,2136302,4331198
20,1048576,312629,1994119,2229088,4535836
20,1048576,203965,1996885,2229265,4430115
21,2097152,418437,1996321,4528769,6943527
21,2097152,522569,1998572,5098767,7619908
21,2097152,407634,1993437,4484149,6885220
21,2097152,409137,1996604,4354782,6760523
21,2097152,432240,1992906,4506346,6931492
21,2097152,644068,1999417,5385485,8028970
21,2097152,429278,1997606,4481492,6908376
21,2097152,407922,1997997,4513037,6918956
21,2097152,416179,1990670,4483431,6890280
21,2097152,669614,1996840,5213229,7879683
Out of memory.  Try a smaller batch or increase GPU memory.
